r407622,Jupiter Airport Sky City,2 BHK 946 Sq. Ft. Apartment,946 Sq. Ft.,Rs 63.38 Lac
r407622,Jupiter Airport Sky City,2 BHK 985 Sq. Ft. Apartment,985 Sq. Ft.,Rs 66.00 Lac
r407622,Jupiter Airport Sky City,3 BHK 1145 Sq. Ft. Apartment,1145 Sq. Ft.,Rs 76.72 Lac
r407622,Jupiter Airport Sky City,3 BHK 1483 Sq. Ft. Apartment,1483 Sq. Ft.,Rs 99.36 Lac
r400423,PS Vaanya,3 BHK 1464 Sq. Ft. Apartment,1464 Sq. Ft.,Rs 2.04 Cr
r400423,PS Vaanya,4 BHK 1969 Sq. Ft. Apartment,1969 Sq. Ft.,Rs 2.75 Cr
r400423,PS Vaanya,4 BHK 2368 Sq. Ft. Apartment,2368 Sq. Ft.,Rs 3.30 Cr
r400423,PS Vaanya,5 BHK 3186 Sq. Ft. Apartment,3186 Sq. Ft.,Rs 4.43 Cr
r432596,VKG Centurion,323 Sq. Ft. Office Space,323 Sq. Ft.,Rs 1.27 Cr
r432596,VKG Centurion,654 Sq. Ft. Office Space,654 Sq. Ft.,Rs 2.57 Cr
r418615,Sheth Edmont Aurelia,2 BHK 766 Sq. Ft. Apartment,766 Sq. Ft.,Rs 2.18 Cr
r418615,Sheth Edmont Aurelia,2 BHK 776 Sq. Ft. Apartment,776 Sq. Ft.,Rs 2.21 Cr
r418615,Sheth Edmont Aurelia,3 BHK 1007 Sq. Ft. Apartment,1007 Sq. Ft.,Rs 2.96 Cr
r418615,Sheth Edmont Aurelia,3 BHK 1218 Sq. Ft. Apartment,1218 Sq. Ft.,Rs 3.55 Cr
r415092,The Prestige City Hyderabad,2 BHK 1179 Sq. Ft. Apartment,1179 Sq. Ft.,Rs 1.07 Cr
r415092,The Prestige City Hyderabad,2 BHK 1548 Sq. Ft. Apartment,1548 Sq. Ft.,Rs 1.40 Cr
r415092,The Prestige City Hyderabad,3 BHK 1631 Sq. Ft. Apartment,1631 Sq. Ft.,Rs 1.45 Cr
r415092,The Prestige City Hyderabad,3 BHK 2433 Sq. Ft. Apartment,2433 Sq. Ft.,Rs 2.16 Cr
r415092,The Prestige City Hyderabad,4 BHK 3348 Sq. Ft. Apartment,3348 Sq. Ft.,Rs 3.00 Cr
r415092,The Prestige City Hyderabad,4 BHK 3400 Sq. Ft. Apartment,3400 Sq. Ft.,Rs 3.05 Cr
r424046,BS Vishan S Castle,2 BHK 1157 Sq. Ft. Apartment,1157 Sq. Ft.,Rs 57.85 Lac
r424046,BS Vishan S Castle,2 BHK 1203 Sq. Ft. Apartment,1203 Sq. Ft.,Rs 60.15 Lac
r424046,BS Vishan S Castle,3 BHK 1657 Sq. Ft. Apartment,1657 Sq. Ft.,Rs 82.85 Lac
r424046,BS Vishan S Castle,3 BHK 1722 Sq. Ft. Apartment,1722 Sq. Ft.,Rs 86.10 Lac
r423416,Sree Urban Orchids,1 BHK 782 Sq. Ft. Apartment,782 Sq. Ft.,Rs 56.30 Lac
r423416,Sree Urban Orchids,2 BHK 1130 Sq. Ft. Apartment,1130 Sq. Ft.,Rs 81.36 Lac
r423416,Sree Urban Orchids,2 BHK 1265 Sq. Ft. Apartment,1265 Sq. Ft.,Rs 91.08 Lac
r423416,Sree Urban Orchids,3 BHK 1385 Sq. Ft. Apartment,1385 Sq. Ft.,Rs 99.72 Lac
r423416,Sree Urban Orchids,3 BHK 1864 Sq. Ft. Apartment,1864 Sq. Ft.,Rs 1.34 Cr
r420301,Tarc Kailasa,3 BHK 3440 Sq. Ft. Apartment,3440 Sq. Ft.,Rs 10.32 Cr
r420301,Tarc Kailasa,3 BHK 3685 Sq. Ft. Apartment,3685 Sq. Ft.,Rs 11.05 Cr
r420301,Tarc Kailasa,4 BHK 4246 Sq. Ft. Apartment,4246 Sq. Ft.,Rs 12.74 Cr
r394740,Singleton Silver Oak Residences,3 BHK 3070 Sq. Ft. Villa,3070 Sq. Ft.,Rs 2.00 Cr
r394740,Singleton Silver Oak Residences,3 BHK 3342 Sq. Ft. Villa,3342 Sq. Ft.,Rs 2.17 Cr
r70384,Pride World City Long Island,1 BHK 450 Sq. Ft. Apartment,450 Sq. Ft.,Rs 37.60 L
r70384,Pride World City Long Island,2 BHK 527 Sq. Ft. Apartment,527 Sq. Ft.,Rs 44.04 L
r70384,Pride World City Long Island,2 BHK 697 Sq. Ft. Apartment,697 Sq. Ft.,Rs 58.24 L
r70384,Pride World City Long Island,3 BHK 927 Sq. Ft. Apartment,927 Sq. Ft.,Rs 77.46 L
r417023,Austin County,,,
r417023,Austin County,,,
r417023,Austin County,,,
r417023,Austin County,,,
r417023,Austin County,,,
r403485,Unique K Pune,2 BHK 812 Sq. Ft. Apartment,812 Sq. Ft.,Rs 99.00 Lac
r403485,Unique K Pune,2 BHK 943 Sq. Ft. Apartment,943 Sq. Ft.,Rs 1.19 Cr
r403485,Unique K Pune,3 BHK 1116 Sq. Ft. Apartment,1116 Sq. Ft.,Rs 1.39 Cr
r403485,Unique K Pune,3 BHK 1271 Sq. Ft. Apartment,1271 Sq. Ft.,Rs 1.58 Cr
r403485,Unique K Pune,4 BHK 1515 Sq. Ft. Apartment,1515 Sq. Ft.,Rs 1.94 Cr
r303861,Piramal Mahalaxmi,2 BHK 762 Sq. Ft. Apartment,762 Sq. Ft.,Rs 4.59 Cr
r303861,Piramal Mahalaxmi,3 BHK 1128 Sq. Ft. Apartment,1128 Sq. Ft.,Rs 6.80 Cr
