XID number,Project Name,City,Region,Builder website,Project Page (Not CP),Magic Bricks Phase 1,Magic Bricks Phase 2,Magic Bricks Phase 3,Magic Bricks Phase 4,Housing Phase 1,Housing Phase 2,Housing Phase 3,Housing Phase 4,Square Yards  Phase 1,Square Yards  Phase 2,Square Yards  Phase 3,Square Yards  Phase 4,Other phase XID on 99acres,NA,NA
294215,Arihant Aspire,Navi Mumbai,Navi Mumbai,https://arihantpalaspepanvel.in/,NA,https://www.magicbricks.com/arihant-aspire-panvel-navi-mumbai-pdpid-4d4235313130373037,NA,NA,NA,https://housing.com/in/buy/projects/page/301132-arihant-aspire-by-arihant-superstructures-limited-in-panvel,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/arihant-aspire/10043/project,NA,NA,NA,NA,NA,NA
399000,ATS Bonheur Avenue,Gurgaon,Gurugram,https://homekraft.in/bonheur-avenue/,NA,https://www.magicbricks.com/ats-bonheur-avenue-sohna-sector-35-gurgaon-pdpid-4d4235333339303137,NA,NA,NA,https://housing.com/in/buy/projects/page/302514-ats-bonheur-avenue-by-ats-homekraft-in-dhunela,NA,NA,NA,https://www.squareyards.com/gurgaon-residential-property/ats-homekraft-bonheur-avenue/188776/project,NA,NA,NA,NA,NA,NA
400534,Amolik Aster Woods,Faridabad,Delhi NCR,https://amolik.com/asterwoods/,NA,https://www.magicbricks.com/amolik-aster-woods-sector-98-faridabad-pdpid-4d4235333637353533,NA,NA,NA,https://housing.com/in/buy/projects/page/290386-amolik-aster-woods-by-amolik-buildcon-llp-in-sector-98,NA,NA,NA,https://www.squareyards.com/faridabad-residential-property/amolik-aster-woods/217581/project,NA,NA,NA,NA,NA,NA
371039,Bhagwati Greens 2,Navi Mumbai,Navi Mumbai,https://bhagwatigroup.in/greens-ii/,NA,https://www.magicbricks.com/bhagwati-greens-2-kharghar-navi-mumbai-pdpid-4d4235313237383533,NA,NA,NA,https://housing.com/in/buy/projects/page/52090-bhagwati-greens-2-by-bhagwati-group-in-kharghar,https://housing.com/in/buy/projects/page/324161-bhagwati-greens-by-bhagwati-group-in-kharghar,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-greens-2/102513/project,NA,NA,NA,NA,NA,NA
331815,One Akshar,Navi Mumbai,Navi Mumbai,https://www.akshardevelopers.com/one-akshar.php,NA,https://www.magicbricks.com/one-akshar-sanpada-navi-mumbai-pdpid-4d4235313333313733,NA,NA,NA,https://housing.com/in/buy/projects/page/45479-one-akshar-by-akshar-land-developers-in-sanpada,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/akshar-one-akshar/13670/project,NA,NA,NA,NA,NA,NA
375092,Provident Palmvista,Navi Mumbai,Navi Mumbai,https://www.providenthousing.com/projects/mumbai/provident-palm-vista-shilphata/,NA,https://www.magicbricks.com/provident-palm-vista-shilphata-thane-pdpid-4d4235333232343433,NA,NA,NA,https://housing.com/in/buy/projects/page/237537-provident-palmvista-by-provident-housing-limited-in-palava-phase-1,NA,NA,NA,https://www.squareyards.com/thane-residential-property/provident-palmvista/103956/project,NA,NA,NA,NA,NA,NA
377897,Bhagwati Elysia 1,Navi Mumbai,Navi Mumbai,https://bhagwatigroup.in/elysia-i/,NA,https://www.magicbricks.com/bhagwati-elysia-pushpak-nagar-navi-mumbai-pdpid-4d4235343235323731,NA,NA,NA,https://housing.com/in/buy/projects/page/289213-bhagwati-elysia-by-bhagwati-group-in-pushpak-nagar,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/bhagwati-elysia/143592/project,NA,NA,NA,NA,NA,NA
388006,Paradise Sai Suncity,Navi Mumbai,Navi Mumbai,https://www.paradisegroup.co.in/sai-sun-city.php,NA,https://www.magicbricks.com/paradise-sai-sun-city-taloja-navi-mumbai-pdpid-4d4235333331353633,NA,NA,NA,https://housing.com/in/buy/projects/page/276381-paradise-sai-suncity-by-paradise-group-in-taloja,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/paradise-sai-suncity/167325/project,NA,NA,NA,NA,NA,NA
405789,Pacific One Pyramid,Navi Mumbai,Navi Mumbai,https://pacificonepyramid.com/,NA,https://www.magicbricks.com/pacific-one-pyramid-airoli-navi-mumbai-pdpid-4d4235343235373135,NA,NA,NA,https://housing.com/in/buy/projects/page/295114-pacific-one-pyramid-by-pacific-properties-in-airoli,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/pacific-one-pyramid/220426/project,NA,NA,NA,NA,NA,NA
405663,Satyam Altura,Navi Mumbai,Navi Mumbai,https://satyamrealtygroup.com/satyam-altura/,NA,https://www.magicbricks.com/satyam-altura-sanpada-navi-mumbai-pdpid-4d4235333731303531,NA,NA,NA,https://housing.com/in/buy/projects/page/288563-satyam-altura-by-satyam-lifescapes-llp-in-sanpada,NA,NA,NA,https://www.squareyards.com/navi-mumbai-residential-property/satyam-altura/210302/project,NA,NA,NA,NA,NA,NA
