xid,name ,city,phase,url_squareyard
6356,Keltech Kumar Imperial Greens,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/kumar-imperial-greens/905/project
373245,Express Astra,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/express-astra/102454/project
401978,Twin Celestial by Ambesten Homes,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/ambesten-twin-county/101625/project
43270,Skyline Speedway Avenue,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/skyline-speedway-avenue/1262/project
298653,CRC Sublimis,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/crc-sublimis/29282/project
255783,Shri Radha Aqua Gardens,Greater Noida,Single phase,https://www.squareyards.com/greater-noida-residential-property/shri-radha-aqua-garden/8372/project
1030,M3M Golfestate,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/m3m-golf-estate/68/project
1350,Puri Diplomatic Greens,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/puri-diplomatic-greens-villas/21271/project
2718,DLF Regal Gardens,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/dlf-regal-gardens/166/project
5456,Puri Emerald Bay,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/puri-emerald-bay/238/project
6136,DLF The Skycourt,Gurugram,Single phase,https://www.squareyards.com/sale/resale-properties-in-dlf-the-skycourt-gurgaon
25860,ATS Triumph,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/ats-triumph/234/project
26134,BPTP Amstoria,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/bptp-amstoria-country-floor/226/project
136575,Ashiana Anmol,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/ashiana-anmol-phase-3/113087/project
146207,Saan Verdante,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/saan-verdante/8632/project
269936,Central Park Flower Valley Aqua Front Towers,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/central-park-flower-valley-aqua-front-towers/100364/project
318679,Hero Homes,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/hero-homes-gurgaon/10213/project
333369,Emaar Digihomes,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/emaar-digi-homes/10609/project
378131,M3M Soulitude,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/m3m-soulitude/106807/project
378934,Signature Global City,Gurugram,Single phase,https://www.squareyards.com/gurgaon-residential-property/signature-global-city/108011/project
