District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No,Tehsil,Street/ Locality,Open Area (In sq. meters),Total Area Of Project (In sq. meters),Sanctioned Number Of Apartments / Plots
Jaipur,ANANTARA- THE VILLAS,GROUP HOUSING,MANGLAMHOME CONSTRUCTION COMPANY LLP,RAJ-RERA-APP-P-2020-2660,RAJ/P/2020/1402 (26/11/2020),Jaipur,"LAL KOTHI, TONK ROAD,",0.00,25193.08,0
Jaipur,Jaipur Green Extension - Vaikunth New,PLOTTED,EMAAR India Ltd,RAJ-RERA-APP-P-2020-2638,RAJ/P/2020/1390 (11/11/2020),Sanganer,"306-308, Square-One, C-2, District Centre, Saket, New Delhi, South Delhi, Delhi, India.",13387.24,39207.36,13
Jaipur,GALAXY ENCLAVE THE URBAN VILLAGE 4,GROUP HOUSING,ANKIT DAGA,RAJ-RERA-APP-P-2020-2571,RAJ/P/2020/1364 (23/10/2020),Jaipur,"Pradhan Marg, Malviya Nagar",0.00,1591.71,0
Jaipur,Royal Gravitaz,GROUP HOUSING,RIDHI SIDHI PRIME REALTY LLP,RAJ-RERA-APP-P-2020-2482,RAJ/P/2020/1339 (30/09/2020),Jaipur,"GYAN VIHAR COLONY, NIRMAN NAGAR, AJMER ROAD",2277.55,3293.38,0
Jaipur,VIRAT KRISHNAV,GROUP HOUSING,VIRAT MURLI INFRA LLP,RAJ-RERA-APP-P-2020-2211,RAJ/P/2020/1266 (05/06/2020),Jaipur,VAISHALI NAGAR,1005.82,7744.80,26
Jaipur,Ashiana Amantran Phase II,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2020-2125,RAJ/P/2020/1221 (06/03/2020),Jaipur,"Lalkothi, Tonk Road",3469.87,33607.37,0
Jaipur,MANGLAM AANANDA PHASE III (B),GROUP HOUSING,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2020-2152,RAJ/P/2020/1220 (06/03/2020),Jaipur,"LALKOTHI, TONK ROAD",11829.79,118960.52,0
Jaipur,Ashiana Amantran Phase I,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2019-1798,RAJ/P/2020/1180 (17/01/2020),Jaipur,"Lalkothi, Tonk Road",11627.02,33607.37,0
Alwar,Ashiana Tarang Phase II,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2019-1228,RAJ/P/2019/915 (15/03/2019),Jaipur,"Lalkothi, Tonk Road",1729.80,48478.88,0
Jaipur,Vatika Infotech City for Part- A,PLOTTED,VATIKA LIMITED,RAJ-RERA-APP-P-2018-1171,RAJ/P/2019/884 (08/03/2019),Sanganer,"INXT City Centre Ground Floor, Block A, Sector 83, Vatika India Next",113726.08,240732.88,0
Jaipur,Vaikunth Villa Plots at Jaipur Greens,PLOTTED,EMAAR India Ltd,RAJ-RERA-APP-P-2019-1648,RAJ/P/2019/1116 (15/10/2019),Sanganer,"306-308, Square-One, C-2, District Centre, Saket, New Delhi, South Delhi, Delhi, India.",22106.76,48912.33,0
Jaipur,Vaikunth Villa Plots at Jaipur Greens,PLOTTED,EMAAR India Ltd,RAJ-RERA-APP-P-2019-1648,RAJ/P/2019/1116 (15/10/2019),Sanganer,"306-308, Square-One, C-2, District Centre, Saket, New Delhi, South Delhi, Delhi, India.",22106.76,48912.33,0
Jaipur,MANGLAM VAISHALI ESTATE EWS & LIG,PLOTTED,MANGLAM BUILD DEVELOPERS LIMITED,RAJ-RERA-APP-P-2019-1543,RAJ/P/2019/1073 (22/08/2019),Jaipur,"LALKOTHI, TONK ROAD",0.00,1390.92,0
Jaipur,Mahima's Shubh Nilay Phase-I (Part 2),GROUP HOUSING,GREEN BUILDESTATE PRIVATE LIMITED,RAJ-RERA-APP-P-2018-1060,RAJ/P/2018/869 (11/12/2018),Jaipur,"22 Godam Circle, Sardar Patel Marg, Jaipur",5505.58,45915.83,0
Jaipur,Ashiana Umang Phase IV,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2018-1579,RAJ/P/2018/779 (26/06/2018),Jaipur,"Lalkothi, Tonk Road",5444.76,51213.52,0
Alwar,The Essentia Phase II,GROUP HOUSING,Star Raison Landmarks,RAJ-RERA-APP-P-2017-526,RAJ/P/2018/728 (18/05/2018),Tijara,"Sector-22, Alwar Bypass Road",6742.00,48648.12,0
Jaipur,THE FUTURE CITY A-I,PLOTTED,TRIMURTY COLONIZERS AND BUILDERS,RAJ-RERA-APP-P-2018-1410,RAJ/P/2018/676 (04/04/2018),Jaipur,GEETA ENCLAVE VINOBA MARG C SCHEME,404888.89,,0
Alwar,HFL-Presidency Estates- Phase I,GROUP HOUSING,Hindustan Fibres Limited,RAJ-RERA-APP-P-2017-731,RAJ/P/2017/532 (12/12/2017),Tijara,RAJENDRA PLACE,7816.43,22271.14,32
