Registration Number,Building Name,Floor Details
PBRERA-SAS81-PR0757,TOWER 5,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,TOWER 6,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,CLUB-2,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,COMMERCIAL BLOCK,"Number of Floor/Plots Currently Sanctioned: 2
Number of Floor/Plots Proposed: 2
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0757,CLUB-1,"Number of Floor/Plots Currently Sanctioned: 3
Number of Floor/Plots Proposed: 5
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0748,BLOCK-A1,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0748,BLOCK-B,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0748,BLOCK-C,"Number of Floor/Plots Currently Sanctioned: 17
Number of Floor/Plots Proposed: 17
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0748,BLOCK-A,"Number of Floor/Plots Currently Sanctioned: 18
Number of Floor/Plots Proposed: 18
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0748,COMMERCIAL BLOCK,"Number of Floor/Plots Currently Sanctioned: 0
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,COMMERCIAL SHOPS,"Number of Floor/Plots Currently Sanctioned: 30
Number of Floor/Plots Proposed: 30
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 1,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 2,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 3,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 4,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 5,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 6,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 7,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 8,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0685,RESIDENTIAL UNITS- TOWER 9,"Number of Floor/Plots Currently Sanctioned: 22
Number of Floor/Plots Proposed: 22
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0664,COMMERCIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 56
Number of Floor/Plots Proposed: 56
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0664,RESIDENTIAL EWS,"Number of Floor/Plots Currently Sanctioned: 45
Number of Floor/Plots Proposed: 45
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0664,RESIDENTIAL PLOTS,"Number of Floor/Plots Currently Sanctioned: 403
Number of Floor/Plots Proposed: 403
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0522,T-11,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0522,T-12,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0522,T-13,"Number of Floor/Plots Currently Sanctioned: 21
Number of Floor/Plots Proposed: 21
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0522,T-10,"Number of Floor/Plots Currently Sanctioned: 20
Number of Floor/Plots Proposed: 20
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0457,RESIDENTIAL UNITS,"Number of Floor/Plots Currently Sanctioned: 4
Number of Floor/Plots Proposed: 4
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 4,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 5,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 6,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 7,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 8,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0451,TOWER 9,"Number of Floor/Plots Currently Sanctioned: 11
Number of Floor/Plots Proposed: 11
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 1 OR TOWER H,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 2 OR TOWER G,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 3 OR TOWER F,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,BLOCK 3 - DEPARTMENTAL STORE,"Number of Floor/Plots Currently Sanctioned: 1
Number of Floor/Plots Proposed: 1
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 8 OR TOWER A,"Number of Floor/Plots Currently Sanctioned: 23
Number of Floor/Plots Proposed: 23
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 6 OR TOWER C,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 5 OR TOWER D,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 4 OR TOWER E,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0391,TOWER 7 OR TOWER B,"Number of Floor/Plots Currently Sanctioned: 24
Number of Floor/Plots Proposed: 24
Number of Floors Constructed: 0"
PBRERA-SAS81-PR0382,GALAXY HEIGHTS TOWER A PHASE-3,"Number of Floor/Plots Currently Sanctioned: 16
Number of Floor/Plots Proposed: 80
Number of Floors Constructed: 16"
PBRERA-SAS81-PR0327,IREO RISE-TOWER 2 AND 3,"Number of Floor/Plots Currently Sanctioned: 9
Number of Floor/Plots Proposed: 9
Number of Floors Constructed: 9"
