"projectId","rescom","id"
"34404","RESIDENTIAL","204226411"
"34404","RESIDENTIAL","204226411"
"40280","RESIDENTIAL","223625877"
"40280","RESIDENTIAL","223625877"
"264189","RESIDENTIAL","222611187"
"264189","RESIDENTIAL","222611187"
"71181","RESIDENTIAL","55035963"
"315049","RESIDENTIAL","191088363"
"271693","RESIDENTIAL","222849239"
"271693","RESIDENTIAL","222849239"
"74379","RESIDENTIAL","223861071"
"74379","RESIDENTIAL","223861071"
"71485","RESIDENTIAL","189477217"
"267177","RESIDENTIAL","222849971"
"267177","RESIDENTIAL","222849971"
"275223","RESIDENTIAL","223057249"
"275223","RESIDENTIAL","223057249"
"261216","RESIDENTIAL","141293455"
"163607","RESIDENTIAL","222370735"
"163607","RESIDENTIAL","222370735"
"24784","RESIDENTIAL","30906525"
"294855","RESIDENTIAL","191291801"
"173841","RESIDENTIAL","222369711"
"173841","RESIDENTIAL","222369711"
"46382","RESIDENTIAL","172676987"
"251543","RESIDENTIAL","190855571"
"105207","RESIDENTIAL","222143777"
"105207","RESIDENTIAL","222143777"
"5712","RESIDENTIAL","189231013"
"34866","RESIDENTIAL","133801593"
"13776","RESIDENTIAL","140396857"
"113891","RESIDENTIAL","175322017"
"172825","RESIDENTIAL","140066705"
"305329","RESIDENTIAL","223404431"
"305329","RESIDENTIAL","223404431"
"67466","RESIDENTIAL","36505473"
"59352","RESIDENTIAL","52686812"
"45928","RESIDENTIAL","125542339"
"55770","RESIDENTIAL","189478173"
"49008","RESIDENTIAL","223626191"
"49008","RESIDENTIAL","223626191"
"331987","RESIDENTIAL","212075705"
"331987","RESIDENTIAL","212075705"
"34744","RESIDENTIAL","129916565"
"171991","RESIDENTIAL","34326577"
"26500","RESIDENTIAL","154597959"
"218617","RESIDENTIAL","175322699"
"9470","RESIDENTIAL","188795105"
"25300","RESIDENTIAL","85536527"
"86211","RESIDENTIAL","134090633"
"311803","RESIDENTIAL","223405189"
"311803","RESIDENTIAL","223405189"
"20850","RESIDENTIAL","188798081"
"345437","RESIDENTIAL","213867167"
"345437","RESIDENTIAL","213867167"
"259459","RESIDENTIAL","218029691"
"259459","RESIDENTIAL","218029691"
"350699","RESIDENTIAL","223404605"
"350699","RESIDENTIAL","223404605"
"14926","RESIDENTIAL","32595039"
"30646","RESIDENTIAL","188799627"
"67482","RESIDENTIAL","189471741"
"34638","RESIDENTIAL","140398633"
"299125","RESIDENTIAL","221932693"
"299125","RESIDENTIAL","221932693"
"87763","RESIDENTIAL","154597957"
"168523","RESIDENTIAL","203293521"
"266603","RESIDENTIAL","222612193"
"266603","RESIDENTIAL","222612193"
"60423","RESIDENTIAL","189234711"
"11088","RESIDENTIAL","189022763"
"559","RESIDENTIAL","158165089"
"35912","RESIDENTIAL","189019261"
"148249","RESIDENTIAL","189470801"
"7100","RESIDENTIAL","188794621"
"304341","RESIDENTIAL","189901111"
"267153","RESIDENTIAL","222847287"
"267153","RESIDENTIAL","222847287"
"36784","RESIDENTIAL","189236869"
"5428","RESIDENTIAL","188794243"
"48270","RESIDENTIAL","190853231"
"3422","RESIDENTIAL","188793699"
"242769","RESIDENTIAL","175322995"
"6800","RESIDENTIAL","223858583"
"6800","RESIDENTIAL","223858583"
