Index,data_point_name,99acres,C1,C2,C3,,,,,,,
431964,RERA,UPRERAPRJ763929/11/2024,UPRERAPRJ763929/11/2024,UPRERAPRJ763929/11/2024,UPRERAPRJ763929,,,,,,,
425268,RERA,UPRERAPRJ288309/04/2024,UPRERAPRJ288309/04/2024,UPRERAPRJ288309/04/2024,UPRERAPRJ288309,,,,,,,
394731,RERA,P51900046369,P51900046369,P51900046369,P51900046369,,,,,,,
88315,RERA,P51900003595,P51900003595|06/2025,P51900003595,P51900003595,,,,,,,
370898,RERA,"P52000026790, P52000030367, P52000049669, P52000052251, P52000056268",P52000026790 / P52000030367,"P52000049669, P52000030367, P52000026790, P52000052251","P52000026790, P52000030367, P52000049669",,,,,,,
430588,Review Count,0,Not Available,Not Available,Not Available,,,,,,,
432470,Review Count,0,Not Available,Not Available,5,,,,,,,
298821,Review Count,0,8,5,Not Available,,,,,,,
410631,Review Count,0,2,5,5,,,,,,,
418319,Review Count,Not available,1,Not Available,5 Ratings,,,,,,,
348347,Review Count,0,3,39,6,,,,,,,
387255,Review Count,0,4,144,5,,,,,,,
272653,Review Count,0,111,15,Not Available,,,,,,,
334709,Review Count,0,15,34,5,,,,,,,
431965,Review Count,0,Not available,Not available,5,,,,,,,
431964,Review Count,0,Not available,Not available,5,,,,,,,
425268,Review Count,0,Not available,Not available,5,,,,,,,
394731,Review Count,Not Available,Not Available,Not Available,5,,,,,,,
88315,Review Count,Not available,1,19,5 Ratings,,,,,,,
370898,Review Count,Not Available,3,Not Available,5,,,,,,,
418319,Videos,3,10,1,2,,,,,,,
348347,Videos,0,4,1,1,,,,,,,
387255,Videos,3,3,1,2,,,,,,,
272653,Videos,3,4,1,Not Available,,,,,,,
334709,Videos,0,3,1,2,,,,,,,
