District Name,Project Name,Project Type,Promoter Name,Application No.,Registration No.,Actions,
Jaipur,Viaan's Radiant,GROUP HOUSING,Viaan Builders and Developers,RAJ-RERA-APP-P-2024-10136,RAJ/P/2024/3420 (07/12/2024),View,
Bhilwara,Anukampa Skydeck Tower C,GROUP HOUSING,BSR ENTERPRISES,RAJ-RERA-APP-P-2024-10132,RAJ/P/2024/3444 (23/12/2024),View,
Jaipur,BHUMIJA PRIME BLOCK C,PLOTTED,BHUMIJA REALSQUARE LLP,RAJ-RERA-APP-P-2024-10133,RAJ/P/2024/3399 (02/12/2024),View,
Jaipur,MJB ATHULYAM I,GROUP HOUSING,MJB Build Developers,RAJ-RERA-APP-P-2024-10130,RAJ/P/2024/3409 (03/12/2024),View,
Jaipur,SANJEEVNI GREEN VIHAR PHASE-IV,PLOTTED,Sanjeevni Buildhome,RAJ-RERA-APP-P-2024-10129,RAJ/P/2024/3453 (31/12/2024),View,
Jaipur,MSG RESIDENCY,GROUP HOUSING,MSG DEVELOPERS,RAJ-RERA-APP-P-2024-10128,RAJ/P/2024/3414 (04/12/2024),View,
Jaipur,JAGDAMBA NAGAR-II,PLOTTED,DHEERAJ KUMAR MEENA,RAJ-RERA-APP-P-2024-10127,RAJ/P/2024/3377 (18/11/2024),View,
Ajmer,Apeksha City C Block Extension,PLOTTED,APEKSHA HOUSING PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10126,RAJ/P/2025/3484 (21/01/2025),View,
Jaipur,Govind Shreevan,PLOTTED,Govindkripa Infra Ventures,RAJ-RERA-APP-P-2024-10125,RAJ/P/2024/3390 (25/11/2024),View,
Kota,GREEN CITY,PLOTTED,NAGAR PALIKA SULTANPUR,RAJ-RERA-APP-P-2024-10124,RAJ/P/2024/3430 (13/12/2024),View,
Jaipur,''PLATINUM GREENS'',PLOTTED,RIYASAT INFRA DEVELOPERS PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10122,RAJ/P/2024/3395 (29/11/2024),View,
Kota,VISION GRANDE,GROUP HOUSING,VISION ENTERPRISES,RAJ-RERA-APP-P-2024-10123,RAJ/P/2024/3415 (04/12/2024),View,
Jaipur,VIKAS HEIGHTS 3RD,GROUP HOUSING,VIKAS HEIGHTS 3RD,RAJ-RERA-APP-P-2024-10121,RAJ/P/2024/3413 (04/12/2024),View,
Jaipur,Ashiana Nitara Phase 2,GROUP HOUSING,Ashiana Housing Limited,RAJ-RERA-APP-P-2024-10119,RAJ/P/2025/3468 (08/01/2025),View,
Jaipur,HAPPY GREEN'S,PLOTTED,HAPPY REALSQUARE LLP,RAJ-RERA-APP-P-2024-10118,RAJ/P/2024/3380 (19/11/2024),View,
Jaipur,Sunflower,GROUP HOUSING,Satyam Construction,RAJ-RERA-APP-P-2024-10120,RAJ/P/2024/3419 (07/12/2024),View,
Sikar,METRO CITY PHASE-2 RESIDENTIAL SCHEME,PLOTTED,Girdhari Lal,RAJ-RERA-APP-P-2024-10117,RAJ/P/2024/3398 (02/12/2024),View,
Kota,NORTH X Block D,PLOTTED,SHUBHAM INFRA HOUSING,RAJ-RERA-APP-P-2024-10116,RAJ/P/2024/3379 (19/11/2024),View,
Kota,SOUTH X BLOCK B,PLOTTED,CORAL COLONIZERS,RAJ-RERA-APP-P-2024-10114,RAJ/P/2024/3388 (22/11/2024),View,
Jodhpur,AASHIRWAD NAGAR,PLOTTED,AASHIRWAD DEVELOPERS AND PROPERTIES,RAJ-RERA-APP-P-2024-10115,RAJ/P/2024/3443 (23/12/2024),View,
Jaipur,UNNATII ENCLAVE,PLOTTED,SHRI RAMCHANDRA INFRA DEVELOPERS,RAJ-RERA-APP-P-2024-10111,RAJ/P/2024/3369 (12/11/2024),View,
Jaipur,Ruby Luxor,GROUP HOUSING,Nirmala Realinfrastructure Private Limited,RAJ-RERA-APP-P-2024-10112,RAJ/P/2024/3408 (03/12/2024),View,
Sikar,Maruti Vihar Aavasiya Yojana Phase-3,PLOTTED,Vishwanath Sharma,RAJ-RERA-APP-P-2024-10113,RAJ/P/2025/3470 (09/01/2025),View,
Jaipur,CRYSTAL HEIGHTS,GROUP HOUSING,SIDDHI VINAYAK HOMES,RAJ-RERA-APP-P-2024-10108,RAJ/P/2024/3407 (03/12/2024),View,
Jaipur,LAMBA HEIGHTS II,GROUP HOUSING,LAMBA REAL ESTATES,RAJ-RERA-APP-P-2024-10110,RAJ/P/2024/3431 (13/12/2024),View,
Sirohi,INFINITE SPIRITUAL LIFESTYLE,GROUP HOUSING,INFRAPRO PROJECTS INDIA PRIVATE LIMITED,RAJ-RERA-APP-P-2024-10105,RAJ/P/2024/3370 (13/11/2024),View,
